description,company,category,title,created,longitude,location,adref,redirect_url,latitude,id,__CLASS__,salary_is_predicted,contract_time,salary_max,salary_min,contract_type
"Die ALH Gruppe zählt zu den bedeutenden Versicherungs- und Finanzdienst­leistungsunternehmen in Deutschland. Rund 3.000 Mitarbeiterinnen und Mitarbeiter bilden das Fundament für unseren Erfolg und sorgen täglich für erstklassigen Service, individuelle Beratung und die langfristige Zufriedenheit unserer Kunden. Aufgaben Innovative Technologien vorantreiben und betriebswirtschaftliche Zusammenhänge optimieren – als Absolvent (m/w/d) des Studiengangs Wirtschaftsinformatik (B.Sc.) weißt du wie´s ge…","{'display_name': 'ALH Gruppe', '__CLASS__': 'Adzuna::API::Response::Company'}","{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",Duales Studium Wirtschaftsinformatik – Data Science (B.Sc.),2025-12-04T00:46:29Z,9.187224,"{'display_name': 'Stuttgart, Baden-Württemberg', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart']}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSWw0U0hvZms4Qkd0ZloxdGJOTy1TQSIsImkiOiI1NTI2Nzk5NjAyIn0.FfonW6MUb0z3Uky6U-t7yWm1uEZbRTHDvE9zKEWdyQM,https://www.adzuna.de/land/ad/5526799602?se=Il4SHofk8BGtfZ1tbNO-SA&utm_medium=api&utm_source=a4bcf954&v=50A05ECE703B9D8307ABA909BAE2B6ABBEF5564A,48.776198,5526799602,Adzuna::API::Response::Job,0,,,,
Wir sind der Digitalisierungspartner in der genossenschaftlichen FinanzGruppe und vereinen jahrzehntelanges Expertenwissen in Banking und Informationstechnologie. Die speziell auf Banken zugeschnittenen IT-Lösungen und Leistungen reichen vom Rechenzentrumsbetrieb über das Bankverfahren von Atruvia bis hin zur App-Entwicklung. Dabei nutzen wir zukunftsweisende Technologien wie Smart Data und schreiben Prozessoptimierung und Regulatorik groß. Gestalte die Zukunft mit KI – Starte dein Duales Studi…,"{'display_name': 'Atruvia AG', '__CLASS__': 'Adzuna::API::Response::Company'}","{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",Duales Studium Data Science & Künstliche Intelligenz B.Sc.,2025-12-22T14:06:54Z,8.412378,"{'display_name': 'Karlsruhe, Karlsruhe (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Karlsruhe (Kreis)', 'Karlsruhe']}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSWw0U0hvZms4Qkd0ZloxdGJOTy1TQSIsImkiOiI1NTUxODE0OTU1In0.AtpQGCMWtNMkhQdl2J88wvnLiftxKCVP9wUrTsA2vZk,https://www.adzuna.de/land/ad/5551814955?se=Il4SHofk8BGtfZ1tbNO-SA&utm_medium=api&utm_source=a4bcf954&v=F2704F00C93919ABCB26E8F47A98A947BD98BEBC,49.001249,5551814955,Adzuna::API::Response::Job,0,,,,
"WHAT DO YOU DO FOR A LIVING? Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir dir im Herzen Stuttgarts viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Für den Studienstart am 1. September 2026 suchen wir am Standort Stuttgart aufge­schlossene und moti­vierte Studierende. DHBW-Studium Bachelor of Science – Wirt­schafts­informatik – Data Science Aufgaben Drei Jahre bei der WGV studieren, dann hast du es geschafft und kannst d…","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.'}","{'label': 'IT-Stellen', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs'}",DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science,2025-12-14T13:38:31Z,9.187224,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], 'display_name': 'Stuttgart, Baden-Württemberg'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU0MjA2ODc4NiIsInMiOiJJbDRTSG9mazhCR3RmWjF0Yk5PLVNBIn0.Ynr_BA5s8HulVlBQB3xsHMmcYJgpDjdJBSjm41S1DhQ,https://www.adzuna.de/land/ad/5542068786?se=Il4SHofk8BGtfZ1tbNO-SA&utm_medium=api&utm_source=a4bcf954&v=F34420569102E0E599C11F27F6FB5D3EC63E8239,48.776198,5542068786,Adzuna::API::Response::Job,0,,,,
"Freiburg im Breisgau ab sofort Wir bilden aus und suchen begeisterte Daten-Enthusiast:innen! KI, Data Engineering, Cloud Computing oder Big Data sollen nicht länger nur theoretische Begriffe sein? Dann ist unser duales Studium mit dem Schwerpunkt Data Science und Künstliche Intelligenz die perfekte Gelegenheit, um deine Fähigkeiten zu entwickeln und in die vielschichtige Welt der Daten einzutauchen. Setze jetzt den Startschuss für deine Karriere ab September 2026 im Studiengang Data Science und…","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Haufe Group SE'}","{'label': 'IT-Stellen', 'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",Duales Studium 2026 - Data Science und KI B.Sc. (d/m/w),2025-10-27T21:42:06Z,7.816286,"{'display_name': 'Freiburg im Breisgau, Baden-Württemberg', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Freiburg im Breisgau']}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQ2NjcyNTE5NCIsInMiOiJJbDRTSG9mazhCR3RmWjF0Yk5PLVNBIn0.eqHwOmrUm6KqNILV0T9YiS6FMSiP_nAKV9A9zhz3o8M,https://www.adzuna.de/land/ad/5466725194?se=Il4SHofk8BGtfZ1tbNO-SA&utm_medium=api&utm_source=a4bcf954&v=2E265F75D4E76BB298528A5390B9ADF9BE5E0796,47.999458,5466725194,Adzuna::API::Response::Job,0,full_time,,,
"Aufgaben Das primäre Ziel ist die Ausbildung von Informatik-Allroundern (m/w/d) für eine Tätigkeit in der Berufspraxis Die Pflichtfächer decken ein breites fachliches Spektrum ab, eine große Zahl an Modulen mit Wahlmöglichkeit erlaubt die individuelle Vertiefung Während der Praxisphasen erhältst du von uns Projekte und/oder Problemstellungen, die du selbstständig behandelst und natürlich mit Unterstützung löst Das Studium verbindet ein wissenschaftliches Hochschulstudium mit unternehmerischer P…","{'display_name': 'Swarco AG', '__CLASS__': 'Adzuna::API::Response::Company'}","{'label': 'IT-Stellen', 'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",Schulabsolvent als Dualer Student Künstliche Intelligenz & Data Science (m/w/d),2025-11-12T15:13:27Z,,"{'display_name': 'Deutschland', 'area': ['Deutschland'], '__CLASS__': 'Adzuna::API::Response::Location'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSWw0U0hvZms4Qkd0ZloxdGJOTy1TQSIsImkiOiI1NDkyMzM2Nzc2In0.xYTaS15gh1E1AjE3YLW9knc2k3L-0tq7dZSJd7qzfVQ,https://www.adzuna.de/land/ad/5492336776?se=Il4SHofk8BGtfZ1tbNO-SA&utm_medium=api&utm_source=a4bcf954&v=2943AE67898FDE42079E37CFC5F7E390C951177C,,5492336776,Adzuna::API::Response::Job,0,full_time,,,
"Bei HARTMANN geht es uns darum, zu helfen , zu pflegen , zu schützen und zu wachsen . Wir unterstützen Fachkräfte im Gesundheitswesen, damit sie sich auf das konzentrieren können, was wirklich wichtig ist: das Leben der Menschen positiv zu beeinflussen. Wir realisieren Lösungen, die einen echten Beitrag leisten. Und mit Deinem Engagement kannst Du jeden Tag in Deinem Job wachsen. Bei HARTMANN glauben wir an den Unterschied, den Du bewirken kannst. Verstärke unser Team als Werkstudent (m/w/d) In…","{'display_name': 'PAUL HARTMANN AG', '__CLASS__': 'Adzuna::API::Response::Company'}","{'label': 'IT-Stellen', 'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",Student Data Science als Werkstudent - Entwicklung & Automatisierung / Power BI (m/w/d),2025-12-01T20:02:58Z,10.181654,"{'display_name': 'Heidenheim (Kreis), Baden-Württemberg', 'area': ['Deutschland', 'Baden-Württemberg', 'Heidenheim (Kreis)'], '__CLASS__': 'Adzuna::API::Response::Location'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUyMjI2NTM3MCIsInMiOiJJbDRTSG9mazhCR3RmWjF0Yk5PLVNBIn0.qG2ParWhshIu5Ret77vxzhJCG7DgicXVyDQSFISN0iw,https://www.adzuna.de/land/ad/5522265370?se=Il4SHofk8BGtfZ1tbNO-SA&utm_medium=api&utm_source=a4bcf954&v=4B2778BF3CB3A9E0159F412FDDF74B7D36BD0D7A,48.67025,5522265370,Adzuna::API::Response::Job,0,full_time,,,
"Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu definieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen ein Zeichen zu setzen und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierende Menschen. In einem offenen und modernen Umfeld mit zahlreichen Entwicklungs- und Weiterbildungsmöglichkeiten, arbeiten die Mitarbeitenden bei ZEISS in einer …","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'ZEISS'}","{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}","Duales Studium – Data Science und Künstliche Intelligenz (m/w/x), Beginn Herbst 2026",2025-11-17T21:26:08Z,11.589469,"{'area': ['Deutschland', 'Thüringen', 'Jena'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Jena, Thüringen'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUwMDg2MDc4OSIsInMiOiJJbDRTSG9mazhCR3RmWjF0Yk5PLVNBIn0.HpozIqBErMEBbuKsC2Mzwao9aHB2PatVwo_PJamAnIQ,https://www.adzuna.de/land/ad/5500860789?se=Il4SHofk8BGtfZ1tbNO-SA&utm_medium=api&utm_source=a4bcf954&v=60C1FBFECD9E0D5EEEBEB9541F3CA65D8B8F9C11,50.923007,5500860789,Adzuna::API::Response::Job,0,,,,
"Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Mercedes-Benz Group AG'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}","Duales Studium Wirtschaftsinformatik/Data Science (B.Sc.), Stuttgart 2026 (w/m/d)",2025-12-28T02:13:06Z,9.315933,"{'display_name': 'Esslingen am Neckar, Esslingen (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Esslingen (Kreis)', 'Esslingen am Neckar'], '__CLASS__': 'Adzuna::API::Response::Location'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSWw0U0hvZms4Qkd0ZloxdGJOTy1TQSIsImkiOiI1NTU3OTY4MTIzIn0.Z5zd6kpZxa-PSfSYKMJzb2ws6pGZ7V8XLCoyBXMQ0UY,https://www.adzuna.de/land/ad/5557968123?se=Il4SHofk8BGtfZ1tbNO-SA&utm_medium=api&utm_source=a4bcf954&v=4C0F2ECCA0B4C2178D7354A87FD83F94E0959CEA,48.745846,5557968123,Adzuna::API::Response::Job,0,,,,
"About Hireshire Hireshire is a modern staffing and talent acquisition platform helping leading organizations find exceptional talent. We’re now expanding into the Data Science vertical and are looking for curious, driven, and analytical minds. Role Overview As a Data Science Intern at Hireshire , you will collaborate with our engineering and strategy teams to design data-driven solutions that power smarter hiring, workforce planning, and operational decision-making. This is a hands-on role wher…","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Hireshire'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",Data Science Intern,2025-12-29T06:21:05Z,,"{'area': ['Deutschland'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Deutschland'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU1ODg3MDA2OCIsInMiOiJJbDRTSG9mazhCR3RmWjF0Yk5PLVNBIn0.jry2gElF5cklodynNdzWJwJG0KKyipy3tCE8WtLQW-A,https://www.adzuna.de/land/ad/5558870068?se=Il4SHofk8BGtfZ1tbNO-SA&utm_medium=api&utm_source=a4bcf954&v=6A79D98431778D8E7CEE553707697119828025E5,,5558870068,Adzuna::API::Response::Job,0,,,,
"Overview The Data Science Consultant provides services that maximize the value of the customer’s business through data-driven insights and enhanced decision support. This role will be responsible for advising the customer and recommending software configuration alternatives and adapting the software that is configured to optimize the solution so that the customer may realize the maximum value from the software. Responsibilities: Perform data analysis to discover patterns, trends and anomalies i…","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Blue Yonder'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",Data Science Consultant,2025-12-10T16:39:31Z,,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland'], 'display_name': 'Deutschland'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSWw0U0hvZms4Qkd0ZloxdGJOTy1TQSIsImkiOiI1NTM2MTU3MDU2In0.O8EsmG5RiHsrHrSsiZIaaKJXslWJ4SC02soiHsQ-ciw,https://www.adzuna.de/land/ad/5536157056?se=Il4SHofk8BGtfZ1tbNO-SA&utm_medium=api&utm_source=a4bcf954&v=03C1CE5A264A72678B26D67FB3446C0FFBBD32A8,,5536157056,Adzuna::API::Response::Job,0,,,,
